trip_id,start_time,end_time,headway_secs
14M_14M_S_1_40_0.70069,16:30:00,17:03:00,165
14M_14M_S_1_6_0.74236,17:11:30,17:56:30,225
14M_14M_S_1_1_0.67431,15:23:30,17:11:30,240
14M_14M_S_1_8_0.71528,17:03:00,17:10:00,210
14M_14M_S_1_14_0.75556,17:56:30,18:16:30,240
14M_14M_S_1_1_0.26181,06:08:30,06:25:30,510
14M_14M_S_1_10_0.30278,07:07:30,07:43:30,180
14M_14M_S_1_19_0.34583,07:45:45,08:21:30,165
14M_14M_S_1_29_0.38958,08:27:30,09:21:30,270
14M_14M_S_1_37_0.43194,08:58:30,14:46:30,360
14M_14M_S_1_1_0.46944,09:46:30,15:04:30,360
14M_14M_S_1_8_0.50694,08:58:30,14:46:30,360
14M_14M_S_1_14_0.54444,09:46:30,15:04:30,360
14M_14M_S_1_19_0.58194,08:58:30,14:46:30,360
14M_14M_S_1_24_0.61944,09:46:30,15:04:30,360
14M_14M_S_1_32_0.66042,15:23:30,17:11:30,240
14M_14M_S_1_41_0.70278,16:30:00,17:03:00,165
14M_14M_S_1_11_0.30486,07:07:30,07:43:30,180
14M_14M_S_1_20_0.34792,07:45:45,08:21:30,165
14M_14M_S_1_7_0.26736,06:08:30,06:25:30,510
14M_14M_S_1_14_0.30694,07:07:30,07:43:30,180
14M_14M_S_1_23_0.35000,08:21:30,08:33:30,180
14M_14M_S_1_30_0.39306,09:21:30,09:46:30,300
14M_14M_S_1_33_0.66319,15:23:30,17:11:30,240
14M_14M_S_1_1_0.70417,16:30:00,17:03:00,165
14M_14M_S_1_8_0.74444,17:11:30,17:56:30,225
14M_14M_S_1_15_0.30903,07:07:30,07:43:30,180
14M_14M_S_1_24_0.35208,08:21:30,08:33:30,180
14M_14M_S_1_35_0.39653,09:21:30,09:46:30,300
14M_14M_S_1_41_0.43611,08:58:30,14:46:30,360
14M_14M_S_1_6_0.47361,09:46:30,15:04:30,360
14M_14M_S_1_11_0.51111,08:58:30,14:46:30,360
14M_14M_S_1_16_0.54861,09:46:30,15:04:30,360
14M_14M_S_1_23_0.58611,08:58:30,14:46:30,360
14M_14M_S_1_29_0.62361,09:46:30,15:04:30,360
14M_14M_S_1_35_0.66597,15:23:30,17:11:30,240
14M_14M_S_1_3_0.70625,16:30:00,17:03:00,165
14M_14M_S_1_11_0.74722,17:11:30,17:56:30,225
14M_14M_S_1_16_0.31111,07:07:30,07:43:30,180
14M_14M_S_1_25_0.35417,08:21:30,08:33:30,180
14M_14M_S_1_18_0.31319,07:07:30,07:43:30,180
14M_14M_S_1_26_0.35625,08:21:30,08:33:30,180
14M_14M_S_1_4_0.70833,16:30:00,17:03:00,165
14M_14M_S_1_12_0.75000,17:56:30,18:16:30,240
